ID Вопроса	Текст вопроса	Блок вопросов
233	What’s your name?	eng_1
234	Where are you from?	eng_1
235	What are your hobbies?	eng_1
236	What’s your job?	eng_1
237	What sports do you like?	eng_1
238	How old are you?	eng_1
239	Какой последний проект вы возглавляли? Каковы его итоги?	rus
240	На какую зарплату вы рассчитываете?	rus
241	Какие зарплаты вы получали раньше?	rus
242	Почему теннисный мяч пушистый?	rus
243	Если бы вы могли назначить президентом супергероя, кто бы это был и почему?	rus
244	Если бы вы могли избавиться от одного из регионов России, что это было бы и почему?	rus
245	Kare wa gakusei desu ka?	jpn
246	anata wa nihonjin desu ka?	jpn
247	kare wa dare desu ka?	jpn
248	doushite desu ka?	jpn
249	eki wa doko desu ka?	jpn
250	Che vestito vuoi?	ita
251	Quanto bagaglio hai?	ita
252	Che rivista leggi?	ita
253	Quante persone arrivano? 	ita
254	Quale donna?	ita
255	Вопрос 1	новый_блок_вопросов
256	Какой последний проект вы возглавляли? Каковы его итоги?	New_rus
257	На какую зарплату вы рассчитываете?	New_rus
258	Какие зарплаты вы получали раньше?	New_rus
259	Почему теннисный мяч пушистый?	New_rus
260	Если бы вы могли назначить президентом супергероя, кто бы это был и почему?	New_rus
261	Если бы вы могли избавиться от одного из регионов России, что это было бы и почему?	New_rus
262	Вопрос Вопрос	New_one
