ID Вопроса	Текст вопроса	Ответ респодента	ID респодента	Комментарий пользователя
257	На какую зарплату вы рассчитываете?	17тр	11	
236	What’s your job?	Нет	11	
258	Какие зарплаты вы получали раньше?	10тр	11	
257	На какую зарплату вы рассчитываете?	Нет	12	
258	Какие зарплаты вы получали раньше?	Да	12	
236	What’s your job?		12	
257	На какую зарплату вы рассчитываете?		12	
258	Какие зарплаты вы получали раньше?	-	11	Это не точно
257	На какую зарплату вы рассчитываете?	100 тр	11	Это много 
236	What’s your job?	Бездельник	11	
